"Time","GPU 2","GPU 5","GPU 4","GPU 3","GPU 0","GPU 7","GPU 1","GPU 6"
2021-06-29 03:30:00,0,87,0,0,0,0,0,87
2021-06-29 04:00:00,0,89,0,0,0,100,0,93
2021-06-29 04:30:00,0,82,0,0,0,0,0,89
2021-06-29 05:00:00,0,88,0,0,0,100,0,87
2021-06-29 05:30:00,0,93,0,0,0,0,0,85
2021-06-29 06:00:00,0,90,0,0,0,100,0,86
2021-06-29 06:30:00,0,93,0,0,0,0,0,88
2021-06-29 07:00:00,0,88,0,0,0,0,0,81
2021-06-29 07:30:00,0,93,0,0,0,0,0,71
2021-06-29 08:00:00,0,87,0,0,0,0,0,86
2021-06-29 08:30:00,80,86,0,0,100,0,100,83
2021-06-29 09:00:00,0,82,0,0,0,0,0,84
2021-06-29 09:30:00,0,86,0,0,0,100,0,88
2021-06-29 10:00:00,0,88,0,0,0,0,0,87
2021-06-29 10:30:00,0,87,0,0,0,0,0,90
2021-06-29 11:00:00,0,83,0,0,0,0,0,90
2021-06-29 11:30:00,0,88,0,0,0,0,0,81
2021-06-29 12:00:00,0,93,0,0,100,0,100,92
2021-06-29 12:30:00,0,89,0,0,0,0,0,87
2021-06-29 13:00:00,0,82,0,0,0,0,0,87
2021-06-29 13:30:00,0,89,0,0,0,0,0,89
2021-06-29 14:00:00,0,86,0,0,0,0,0,86
2021-06-29 14:30:00,0,87,0,0,0,0,0,89
2021-06-29 15:00:00,0,89,0,0,0,0,0,83
2021-06-29 15:30:00,0,93,0,0,0,0,0,88
2021-06-29 16:00:00,0,87,0,0,0,0,0,84
2021-06-29 16:30:00,0,89,0,0,0,0,0,87
2021-06-29 17:00:00,0,87,0,0,0,0,0,86
2021-06-29 17:30:00,0,82,0,0,0,0,0,81
2021-06-29 18:00:00,0,90,0,0,0,0,0,88
2021-06-29 18:30:00,0,88,0,0,0,0,0,88
2021-06-29 19:00:00,0,90,0,0,0,0,0,93
2021-06-29 19:30:00,0,85,0,0,0,0,0,88
2021-06-29 20:00:00,0,89,0,0,0,100,0,90
2021-06-29 20:30:00,0,89,0,0,0,0,0,89
2021-06-29 21:00:00,100,83,0,100,0,0,100,86
2021-06-29 21:30:00,0,0,92,0,0,0,0,88
2021-06-29 22:00:00,0,0,0,0,0,0,0,86
2021-06-29 22:30:00,0,0,0,0,0,0,0,90
2021-06-29 23:00:00,0,0,0,0,0,0,0,0
2021-06-29 23:30:00,0,0,0,0,0,0,0,0
2021-06-30 00:00:00,0,0,0,0,0,0,0,0
2021-06-30 00:30:00,0,0,0,0,0,100,0,0
2021-06-30 01:00:00,0,0,0,0,0,0,0,0
2021-06-30 01:30:00,0,0,0,0,100,0,37,0
2021-06-30 02:00:00,0,0,0,0,0,0,0,0
2021-06-30 02:30:00,100,0,0,100,16,0,100,0
2021-06-30 03:00:00,0,0,0,0,0,0,0,0
2021-06-30 03:30:00,0,0,0,0,0,0,0,0
2021-06-30 04:00:00,0,0,0,0,0,0,0,0
2021-06-30 04:30:00,0,0,0,0,0,0,0,0
2021-06-30 05:00:00,0,0,0,0,0,0,0,0
2021-06-30 05:30:00,0,0,0,0,100,0,100,0
2021-06-30 06:00:00,0,0,0,0,0,0,0,0
2021-06-30 06:30:00,0,0,0,0,0,0,0,100
2021-06-30 07:00:00,0,0,0,0,0,0,0,0
2021-06-30 07:30:00,0,0,0,0,0,0,0,0
2021-06-30 08:00:00,100,0,0,0,100,0,100,0
2021-06-30 08:30:00,0,0,0,0,0,0,0,0
2021-06-30 09:00:00,0,0,0,0,0,0,0,0
2021-06-30 09:30:00,0,0,0,0,0,0,0,0
2021-06-30 10:00:00,0,0,87,0,0,0,0,0
2021-06-30 10:30:00,0,0,87,0,0,0,0,0
2021-06-30 11:00:00,0,0,86,0,0,0,0,0
2021-06-30 11:30:00,0,0,88,0,0,0,0,100
2021-06-30 12:00:00,0,0,89,0,0,0,0,0
